职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
金融/经济研究员,4-8千,南昌,无需经验,硕士,上海用益金融信息服务有限公司南昌分公司,信托/担保/拍卖/典当,民营,50-150人,五险一金;带薪年假,管理;财务;金融;经济;策划方案;宏观经济;调查报告;金融政策;市场情报;资本市场分析,
中国保险与养老金融研究中心中级研究专员,1-1.5万,北京·海淀区,2年及以上,硕士,清华大学,教育/培训/院校,事业单位,10000人以上,绩效奖金;五险一金;餐饮补贴,年终奖金;定期体检;专业培训,
美日高中经济教师,1-2万,上海·浦东新区,1年及以上,本科,上海市民办尚德实验学校,教育/培训/院校,民营,500-1000人,五险一金;绩效奖金;带薪年假,教育;经济学;双语授课;年终奖金;定期体检;双休;企业年金;寒暑假,
研究所-创新发展部-研究岗G01315,1.5-3万,上海·浦东新区,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;补充公积金,新能源;补充企业年金;专业培训,
研究院金融工程研究岗,13.2-22.8万/年,深圳·福田区,1年及以上,硕士,西南证券股份有限公司,金融/投资/证券,国企,1000-5000人,,计算机;编程;数学;调研;研究报告;深度报告;数理统计;数据处理分析;量化建模;金融产品研究,
高级WebGis后端开发工程师,24-30万/年,武汉·洪山区,5年及以上,硕士,赤壁市低空经济发展服务中心（武汉大学—咸宁低空经济创新研究院）,多元化业务集团公司,事业单位,少于50人,五险一金,计算机;java;mysql;oracle;数据库;linux;测试;springboot;sql;年终奖金;定期体检,
国际高中经济教师,1-2万,上海·浦东新区,1年及以上,硕士,上海市民办尚德实验学校,教育/培训/院校,民营,500-1000人,五险一金;绩效奖金;带薪年假,经济;IBDP;ALevel;年终奖金;定期体检;双休;企业年金;寒暑假,
研究所金融工程行业分析师/研究员/研究助理(000590),1.5-2.5万,深圳·福田区,2年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;matlab;路演;资格证书;量化研究;基金研究;行业轮动;电话会议;分析师;研究员;上市公司;佣金,
研究院金融工程研究岗,13.2-22.8万/年,上海,1年及以上,硕士,西南证券股份有限公司,金融/投资/证券,国企,1000-5000人,,计算机;编程;数学;调研;研究报告;深度报告;数理统计;数据处理分析;量化建模;金融产品研究,
研究所-金融与量化研究部-固定收益研究岗G01230,1.5-3万,深圳·福田区,2年及以上,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利;补充公积金,餐补;定期体检;补充企业年金;专业培训,
双语经济老师,1.1-1.4万,苏州·姑苏区,2年,本科,苏州国际预科学校,学术/科研,非营利组织,50-150人,五险一金;绩效奖金;餐饮补贴;节日福利;带薪年假;补充医疗保险;通讯补贴,economics;年终奖金;员工旅游;定期体检,
