职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
行业研究员,1-1.5万·20薪,南京·江宁区,2年及以上,硕士,南京一百六贸易有限公司,金融/投资/证券,民营,少于50人,,,
策略分析师,2-2.5万,上海·普陀区,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,
美股策略分析师,1-2万,上海·浦东新区,2年及以上,硕士,上海泰佑投资有限公司,金融/投资/证券,民营,未知,五险一金;绩效奖金,专业培训;年终奖金;提成,
食品饮料&新消费分析师,8千-1.5万,上海·浦东新区,1年及以上,硕士,太平洋证券股份有限公司,金融/投资/证券,已上市,1000-5000人,,行业分析;行业分析师,
证券助理,8千-1.2万,武汉·蔡甸区,无需经验,本科,湖北祥源新材科技股份有限公司,原材料和加工,已上市,500-1000人,,上市公司,
卖方分析师/卖方分析师,1.2-1.7万·13薪,佛山·南海区,1-3年,本科,佛山市青松科技股份有限公司,电子技术/半导体/集成电路,民营,500-1000人,带薪年假;社会保险,团队聚餐;专业培训;技能培训;职业发展;团队年轻;年度旅游;生日礼品;食宿;团队氛围,
金融交易投资分析师,8千-1.6万,西安,无需经验,本科,正利（西安）投资有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金;带薪年假;节日福利,年终奖金;专业培训;员工旅游;周末双休;弹性工作,
化工行业分析师,1.5-3万,北京·西城区,3-4年,硕士,太平洋证券股份有限公司,金融/投资/证券,已上市,1000-5000人,餐饮补贴;通讯补贴;带薪年假,行业分析;定期体检;上市公司,
买方分析师,5千-1万,成都,无需经验,高中,成都云釉之境商贸有限公司,贸易/进出口,民营,未知,,办公软件;期货;电脑;股票;交易操作;市场数据整理;现货交易;交易决策;交易流程;专业培训;周末双休;做五休二,
股票分析师（讲师）,1-2万,德阳,3年及以上,本科,中国银河证券股份有限公司德阳凯江路证券营业部,金融/投资/证券,国企,10000人以上,五险一金;交通补贴;餐饮补贴;通讯补贴;绩效奖金,专业培训;弹性工作;定期体检,
研究所机械行业研究员/研究助理(000592),1.5-2.5万,北京·东城区,1年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;调研;路演;深度报告;电话会议;分析师;上市公司;佣金;培训,
投资分析经理,1-1.5万·14薪,广州·天河区,3年及以上,本科,融捷投资控股集团有限公司,多元化业务集团公司,民营,10000人以上,,上市公司,
咨询分析师,1.3-2.3万,上海·静安区,无需经验,本科,灼识企业管理咨询（上海）有限公司,金融/投资/证券,民营,150-500人,五险一金,英语;ppt;咨询;行业研究;ipo;商业尽职调查;专业培训;年终奖金,
证券代表,1.5-1.8万·13薪,南京·建邺区,3年及以上,本科,南京纽邦生物科技有限公司,制药/生物工程,民营,150-500人,五险一金,金融;财务管理;方案设计;尽职调查;法律;投资;立项;cpa;ipo;注册会计师;专业培训;股票期权,
研究所机械行业研究员/研究助理(000592),1.5-2.5万,深圳·福田区,1年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;调研;路演;深度报告;电话会议;分析师;证券投资咨询;上市公司;佣金;培训,
分析师助理,4-7千,成都·锦江区,无需经验,大专,四川盛曌承祥科技有限公司,计算机服务(系统、数据服务、维修),民营,少于50人,五险一金;节日福利;生日福利;购买社保,二级市场分析;周末双休;定期团建;下午茶;周末双休;底薪;节假日;提成,
高级分析师（咨询）,1.3-1.5万·13薪,上海·闵行区,2年及以上,本科,易唯思商务咨询（上海）有限公司,专业服务(咨询、人力资源、财会),外资（欧美）,150-500人,,外资咨询;进入市场;竞争对手分析;市场调研;市场规模研究;桌面研究;产品定价;二手调研;方案设计;报告撰写,
研究所银行行业首席分析师(000588),1.5-2.5万,上海·浦东新区,4年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,调研;业务指导;分析评估;分析师;督导执行;证券投资咨询;业务判断;上市公司;佣金;培训,
证券分析师助理,8千-1.6万,成都·高新区,无需经验,本科,四川景地基业集团有限公司,房地产,民营,150-500人,五险一金,办公软件;excel;金融;ppt;会计;经济;市场动态;资料归档;研究报告;资本市场;周末双休,
研究院-宏观行业首席分析师,5-10万,北京·西城区,5-7年,硕士,太平洋证券股份有限公司,金融/投资/证券,已上市,1000-5000人,,宏观研究;宏观经济分析;宏观分析;行业分析;政策研究,
研究所金融工程行业分析师/研究员/研究助理(000590),1.5-2.5万,深圳·福田区,2年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;matlab;路演;资格证书;量化研究;基金研究;行业轮动;电话会议;分析师;研究员;上市公司;佣金,
证券分析师实习生,3-6千,上海·浦东新区,3年及以上,硕士,上海或然投资管理有限公司,金融/投资/证券,民营,少于50人,,证券分析师;证券分析员;价值投资,
金融分析师（双休/不加班）,8千-1.6万,武汉·江岸区,1-3年,本科,武汉市凯吉圣投资开发有限公司,金融/投资/证券,民营,未知,,周末双休;不加班;缴纳五险,
